co,year,c,y,p,car
AUSTRIA,1960,4.173244,-6.474277,-.33454761,-9.76684
AUSTRIA,1961,4.1009893,-6.4260058,-.35132763,-9.6086216
AUSTRIA,1962,4.0731764,-6.4073081,-.3795177,-9.4572563
AUSTRIA,1963,4.0595093,-6.3706784,-.41425139,-9.3431549
AUSTRIA,1964,4.0376887,-6.322247,-.44533536,-9.2377396
AUSTRIA,1965,4.0339832,-6.2946677,-.49706066,-9.1239033
AUSTRIA,1966,4.0475364,-6.2525454,-.46683773,-9.0198221
AUSTRIA,1967,4.0529108,-6.2345805,-.5058834,-8.9344025
AUSTRIA,1968,4.045507,-6.2068944,-.52241254,-8.8479671
AUSTRIA,1969,4.0463548,-6.1531396,-.55911052,-8.7886858
AUSTRIA,1970,4.0808878,-6.0817122,-.59656119,-8.7282
AUSTRIA,1971,4.1067204,-6.0436258,-.65445912,-8.6358986
AUSTRIA,1972,4.1280179,-5.9810519,-.59633183,-8.5383377
AUSTRIA,1973,4.1993804,-5.895153,-.59444684,-8.4872894
AUSTRIA,1974,4.0184956,-5.8523812,-.46602693,-8.4304037
AUSTRIA,1975,4.0290179,-5.8693633,-.45414221,-8.3828144
AUSTRIA,1976,3.9854116,-5.8117027,-.50008374,-8.3222322
AUSTRIA,1977,3.9316759,-5.8332877,-.42191562,-8.2495632
AUSTRIA,1978,3.9227495,-5.762023,-.46960312,-8.2110405
BELGIUM,1960,4.1640158,-6.2150912,-.16570961,-9.4055271
BELGIUM,1961,4.1243558,-6.1768432,-.17173098,-9.3031492
BELGIUM,1962,4.0759616,-6.1296382,-.22229138,-9.21807
BELGIUM,1963,4.001266,-6.0940189,-.25046226,-9.1149321
BELGIUM,1964,3.9943755,-6.0364614,-.27591056,-9.0054903
BELGIUM,1965,3.9515307,-6.0072517,-.34493697,-8.8625813
BELGIUM,1966,3.8205378,-5.9941082,-.2363977,-8.7545271
BELGIUM,1967,3.9068782,-5.9648118,-.26699498,-8.748827
BELGIUM,1968,3.8286655,-5.9246931,-.31116074,-8.5765123
BELGIUM,1969,3.8546011,-5.857532,-.35480851,-8.5214529
BELGIUM,1970,3.8703916,-5.7972007,-.37794045,-8.453043
BELGIUM,1971,3.8722451,-5.7610497,-.39922991,-8.4094572
BELGIUM,1972,3.9054019,-5.7102304,-.31064585,-8.3625879
BELGIUM,1973,3.8959956,-5.6441445,-.37309191,-8.3144464
BELGIUM,1974,3.8182304,-5.6007276,-.36223564,-8.2705956
BELGIUM,1975,3.8777785,-5.623003,-.36430848,-8.2288475
BELGIUM,1976,3.8641455,-5.5671926,-.37896585,-8.1841335
BELGIUM,1977,3.8543112,-5.5566964,-.43164134,-8.1385336
BELGIUM,1978,3.8427417,-5.5329399,-.59094965,-8.1047411
CANADA,1960,4.8552384,-5.8897133,-.97210652,-8.3789167
CANADA,1961,4.8265553,-5.8843436,-.97229022,-8.3467293
CANADA,1962,4.8505325,-5.8445525,-.97860754,-8.3205118
CANADA,1963,4.8380799,-5.7923517,-1.0190479,-8.2694225
CANADA,1964,4.8397603,-5.7600632,-1.002857,-8.2524042
CANADA,1965,4.8508277,-5.7228217,-1.0171255,-8.2236214
CANADA,1966,4.8710251,-5.6717839,-1.0169444,-8.2012367
CANADA,1967,4.852499,-5.6084809,-1.0235971,-8.1560764
CANADA,1968,4.8687825,-5.5739245,-1.0198452,-8.123188
CANADA,1969,4.8644328,-5.5608525,-1.0368639,-8.0951138
CANADA,1970,4.89957,-5.5147629,-1.0673331,-8.0800285
CANADA,1971,4.8950744,-5.4799194,-1.0580368,-8.0392637
CANADA,1972,4.8893023,-5.4366026,-1.0996671,-7.9895306
CANADA,1973,4.899694,-5.4147534,-1.1331614,-7.9421396
CANADA,1974,4.8915906,-5.4184561,-1.1237999,-7.9007578
CANADA,1975,4.8884711,-5.3790975,-1.1856843,-7.8733125
CANADA,1976,4.837359,-5.3612852,-1.0617965,-7.8084249
CANADA,1977,4.8109913,-5.3369665,-1.0708445,-7.7687926
CANADA,1978,4.8558459,-5.3112721,-1.0749507,-7.7880616
DENMARK,1960,4.501986,-6.0617256,-.1957026,-9.3261604
DENMARK,1961,4.4828458,-6.0008969,-.25361845,-9.1931353
DENMARK,1962,4.3854485,-5.9874768,-.21875401,-9.0472832
DENMARK,1963,4.3539972,-5.9730601,-.24800935,-8.9527826
DENMARK,1964,4.3264356,-5.8947415,-.30654922,-8.8526068
DENMARK,1965,4.2494535,-5.8593559,-.32701543,-8.7619534
DENMARK,1966,4.2336435,-5.8518658,-.39618847,-8.6815405
DENMARK,1967,4.2034664,-5.8230639,-.4425737,-8.6021214
DENMARK,1968,4.1616874,-5.7922606,-.35204753,-8.5337734
DENMARK,1969,4.1735616,-5.7227693,-.40687922,-8.470459
DENMARK,1970,4.1288071,-5.7083073,-.44046083,-8.4270592
DENMARK,1971,4.1031461,-5.6768203,-.45473954,-8.3693991
DENMARK,1972,4.082808,-5.6459908,-.49918863,-8.3346729
DENMARK,1973,4.1374378,-5.5958614,-.43257186,-8.3046026
DENMARK,1974,4.0004606,-5.5948658,-.42517719,-8.3001766
DENMARK,1975,4.0330148,-5.6129665,-.39395431,-8.2746315
DENMARK,1976,4.0077391,-5.5539389,-.35361534,-8.2440872
DENMARK,1977,4.0052905,-5.5387301,-.35690916,-8.2198582
DENMARK,1978,4.0366011,-5.4830737,-.29068136,-8.1958055
FRANCE,1960,3.9077041,-6.2643628,-.019598331,-9.1457062
FRANCE,1961,3.8856225,-6.2208829,-.023859998,-9.0442533
FRANCE,1962,3.8236661,-6.1735926,-.068920217,-8.9301329
FRANCE,1963,3.7889965,-6.1370602,-.13792899,-8.8186321
FRANCE,1964,3.7670844,-6.0872369,-.19784646,-8.7109652
FRANCE,1965,3.7605836,-6.0485277,-.23365325,-8.6293907
FRANCE,1966,3.7495348,-6.0008364,-.26427165,-8.5457706
FRANCE,1967,3.7686207,-5.9556599,-.29405797,-8.4873695
FRANCE,1968,3.7782304,-5.9013796,-.32316178,-8.4255505
FRANCE,1969,3.7734599,-5.8407741,-.31519088,-8.3691368
FRANCE,1970,3.8015826,-5.7841811,-.33384615,-8.3270893
FRANCE,1971,3.8259623,-5.7431436,-.37945667,-8.2795219
FRANCE,1972,3.8466773,-5.6991072,-.40781641,-8.222764
FRANCE,1973,3.8849943,-5.6550651,-.4750343,-8.1839046
FRANCE,1974,3.8079948,-5.630096,-.21698192,-8.1603279
FRANCE,1975,3.8085489,-5.6332707,-.25838172,-8.1454659
FRANCE,1976,3.9081161,-5.588335,-.2465131,-8.1104069
FRANCE,1977,3.8125005,-5.5634179,-.22550681,-8.064147
FRANCE,1978,3.7888825,-5.5302467,-.38075942,-8.0056553
GERMANY,1960,3.9169531,-6.1598372,-.18591079,-9.3424807
GERMANY,1961,3.8853455,-6.1209235,-.23095384,-9.1838408
GERMANY,1962,3.871484,-6.0942574,-.3438417,-9.0372801
GERMANY,1963,3.8487823,-6.0683608,-.37464672,-8.9136295
GERMANY,1964,3.868993,-6.013442,-.39965257,-8.8110132
GERMANY,1965,3.8610492,-5.9664688,-.43987826,-8.7118874
GERMANY,1966,3.8807406,-5.9490681,-.54000199,-8.6311922
GERMANY,1967,3.8750319,-5.9600415,-.54998142,-8.5760136
GERMANY,1968,3.8893616,-5.8834143,-.43824223,-8.5158644
GERMANY,1969,3.8991847,-5.8296409,-.58923137,-8.4380608
GERMANY,1970,3.9025204,-5.767374,-.63329518,-8.3619289
GERMANY,1971,3.9321043,-5.7380199,-.67176312,-8.283823
GERMANY,1972,3.9324021,-5.71875,-.7179746,-8.2371616
GERMANY,1973,3.9241557,-5.668169,-.7258752,-8.1990032
GERMANY,1974,3.8882124,-5.6639638,-.56982875,-8.1826801
GERMANY,1975,3.9220285,-5.6790566,-.56482381,-8.1473436
GERMANY,1976,3.8964694,-5.6238408,-.62481296,-8.0870609
GERMANY,1977,3.89569,-5.5946093,-.59761208,-8.0111017
GERMANY,1978,3.8838785,-5.5617332,-.62817281,-7.9500794
GREECE,1960,5.0374055,-7.1648617,-.083547398,-12.173814
GREECE,1961,5.381495,-7.0733466,-.10421997,-12.051683
GREECE,1962,5.1880717,-7.0514216,-.1332075,-11.906389
GREECE,1963,5.0834117,-6.9820247,-.15653576,-11.733713
GREECE,1964,5.178627,-6.8987126,-.18051772,-11.550034
GREECE,1965,5.0151124,-6.8229327,-.077939995,-11.317051
GREECE,1966,5.0483956,-6.7750969,-.114919,-11.156715
GREECE,1967,4.9757752,-6.7324333,-.13775849,-11.010858
GREECE,1968,4.9441605,-6.6768088,-.15375882,-10.847622
GREECE,1969,4.8947735,-6.5911036,-.17986998,-10.713848
GREECE,1970,4.8518238,-6.5102711,-.20252426,-10.564516
GREECE,1971,4.8118148,-6.437449,-.067610785,-10.417716
GREECE,1972,4.7957087,-6.348042,-.11973058,-10.286142
GREECE,1973,4.7685819,-6.2811704,-.051910292,-10.156498
GREECE,1974,4.6278067,-6.3245816,.31625351,-10.071674
GREECE,1975,4.5809617,-6.2715874,.20631574,-9.9333334
GREECE,1976,4.4799557,-6.224761,.19319312,-9.7769642
GREECE,1977,4.4846168,-6.2033734,.23502961,-9.6156979
GREECE,1978,4.5463996,-6.1511173,.16896038,-9.5749836
IRELAND,1960,4.2704206,-6.7224655,-.076481178,-9.698144
IRELAND,1961,4.2552395,-6.6581659,-.12040874,-9.6048689
IRELAND,1962,4.2084346,-6.6228123,-.1416004,-9.502161
IRELAND,1963,4.1766958,-6.5911727,-.15232915,-9.4093323
IRELAND,1964,4.1862426,-6.564281,-.24428213,-9.3144207
IRELAND,1965,4.1648955,-6.5483027,-.16899367,-9.2194214
IRELAND,1966,4.1682143,-6.5519633,-.21071902,-9.1709061
IRELAND,1967,4.1889896,-6.5004835,-.17383532,-9.1146851
IRELAND,1968,4.1811199,-6.6079631,-.21339314,-9.0171957
IRELAND,1969,4.2086124,-6.3797431,-.27162841,-8.9472656
IRELAND,1970,4.2499447,-6.3665175,-.32069024,-8.9189291
IRELAND,1971,4.267118,-6.3454413,-.36041066,-8.8719521
IRELAND,1972,4.2707677,-6.313571,-.4239313,-8.8239489
IRELAND,1973,4.2538271,-6.2965784,-.64567298,-8.7557678
IRELAND,1974,4.3255854,-6.2868848,-.55343878,-8.745203
IRELAND,1975,4.2482185,-6.3019552,-.64126414,-8.7094774
IRELAND,1976,4.2211461,-6.2872667,-.66134256,-8.6672239
IRELAND,1977,4.2415509,-6.2511301,-.5601148,-8.640727
IRELAND,1978,4.1986108,-6.1931429,-.66277808,-8.5509901
ITALY,1960,4.0507283,-6.7274876,.16507708,-10.142097
ITALY,1961,4.045248,-6.6553483,-.085590385,-9.932662
ITALY,1962,4.0289989,-6.5997815,-.18351291,-9.7266951
ITALY,1963,3.9630864,-6.5526724,-.26541406,-9.4787998
ITALY,1964,3.9363244,-6.6292958,-.42609644,-9.308466
ITALY,1965,3.8749852,-6.6021891,-.32712638,-9.1580172
ITALY,1966,3.8227353,-6.4496827,-.24887417,-9.0148125
ITALY,1967,3.7858083,-6.3935003,-.19160047,-8.8832827
ITALY,1968,3.7639029,-6.3345094,-.20616657,-8.7641973
ITALY,1969,3.7373893,-6.2828569,-.2475668,-8.6660042
ITALY,1970,3.7068717,-6.2404532,-.23271511,-8.567338
ITALY,1971,3.648205,-6.2226024,-.14822267,-8.4709682
ITALY,1972,3.6292434,-6.2056537,-.21508858,-8.3801756
ITALY,1973,3.6522634,-6.1572967,-.32508487,-8.3167048
ITALY,1974,3.49947,-6.125844,-.2229086,-8.2622557
ITALY,1975,3.5156796,-6.1701002,-.032709129,-8.2176657
ITALY,1976,3.4276288,-6.1192222,.10292798,-8.1677561
ITALY,1977,3.380209,-6.1045413,.16418806,-8.1456604
ITALY,1978,3.3945045,-6.0836854,.034822118,-8.1128521
JAPAN,1960,5.9952865,-6.9861965,-.14532271,-12.235079
JAPAN,1961,5.7584834,-6.8929515,-.1487494,-11.870474
JAPAN,1962,5.6419148,-6.8058286,-.18731458,-11.587885
JAPAN,1963,5.5080819,-6.7227597,-.19996473,-11.270245
JAPAN,1964,5.2753277,-6.6359153,-.20386432,-10.976966
JAPAN,1965,5.1258507,-6.5855632,-.23786572,-10.72198
JAPAN,1966,5.0008216,-6.5001879,-.27411538,-10.469487
JAPAN,1967,4.8548613,-6.3775964,-.3316724,-10.176661
JAPAN,1968,4.6846662,-6.2518773,-.35126919,-9.8818502
JAPAN,1969,4.51829,-6.159308,-.41685018,-9.6075993
JAPAN,1970,4.401597,-6.0587368,-.46203545,-9.3829517
JAPAN,1971,4.3056235,-6.0060802,-.43941355,-9.2093935
JAPAN,1972,4.2229757,-5.9346943,-.52100092,-9.0541391
JAPAN,1973,4.0938835,-5.8358693,-.4627074,-8.9242697
JAPAN,1974,4.0079641,-5.8525534,-.19090636,-8.8465195
JAPAN,1975,3.9959846,-5.851706,-.15948473,-8.7751751
JAPAN,1976,3.988162,-5.8004284,-.20726559,-8.7164164
JAPAN,1977,3.9646719,-5.7568564,-.21904446,-8.655529
JAPAN,1978,3.9487464,-5.7088451,-.28707638,-8.5940323
NETHERLA,1960,4.6462679,-6.2163644,-.2014848,-9.9984493
NETHERLA,1961,4.5598397,-6.2081575,-.21599264,-9.8467112
NETHERLA,1962,4.4717169,-6.180614,-.25968009,-9.6905651
NETHERLA,1963,4.377687,-6.1625619,-.29718661,-9.534029
NETHERLA,1964,4.3195634,-6.0899148,-.3692939,-9.3461123
NETHERLA,1965,4.2330017,-6.0512609,-.34197503,-9.1751652
NETHERLA,1966,4.1680164,-6.0388613,-.34809008,-9.0234814
NETHERLA,1967,4.1191549,-5.9997249,-.3123202,-8.896225
NETHERLA,1968,4.0707345,-5.9466195,-.44450432,-8.7585697
NETHERLA,1969,3.9876893,-5.8805556,-.41694954,-8.6341028
NETHERLA,1970,3.9564078,-5.8385768,-.39954543,-8.5194979
NETHERLA,1971,3.9478037,-5.8130407,-.43393028,-8.4575949
NETHERLA,1972,3.9152963,-5.7854471,-.3190324,-8.3826303
NETHERLA,1973,3.8804786,-5.7472868,-.42728192,-8.3067064
NETHERLA,1974,3.7113838,-5.7292514,-.35253686,-8.250494
NETHERLA,1975,3.7184663,-5.7430143,-.43426177,-8.1832981
NETHERLA,1976,3.7836347,-5.7038679,-.42908391,-8.2024679
NETHERLA,1977,3.7766817,-5.6867309,-.46474195,-8.1625414
NETHERLA,1978,3.8825941,-5.6606636,-.55791461,-8.1560078
NORWAY,1960,4.4350405,-6.0903563,-.13968958,-9.6750526
NORWAY,1961,4.3327193,-6.0371566,-.15790513,-9.4715977
NORWAY,1962,4.234241,-6.012897,-.1990881,-9.329567
NORWAY,1963,4.2161894,-5.9664946,-.23263319,-9.2177305
NORWAY,1964,4.1643519,-5.9279089,-.2637473,-9.0915356
NORWAY,1965,4.1316333,-5.881567,-.31593123,-8.9880028
NORWAY,1966,4.0846076,-5.851223,-.25011727,-8.8919592
NORWAY,1967,4.0643139,-5.8055596,-.26555762,-8.8026762
NORWAY,1968,4.1038642,-5.7734947,-.30036774,-8.8011293
NORWAY,1969,4.086823,-5.7353187,-.33823046,-8.6945934
NORWAY,1970,4.0888057,-5.7411437,-.39072561,-8.6286163
NORWAY,1971,4.0789318,-5.6994429,-.30127224,-8.5684862
NORWAY,1972,4.0772576,-5.6580129,-.26023924,-8.5143938
NORWAY,1973,4.0613489,-5.6231709,-.33880764,-8.4596548
NORWAY,1974,3.960331,-5.5783825,-.15100925,-8.4064436
NORWAY,1975,3.9960251,-5.5518851,-.32726756,-8.3428898
NORWAY,1976,3.9782097,-5.4976354,-.35308751,-8.2772923
NORWAY,1977,3.9885156,-5.4580665,-.38255763,-8.2028408
NORWAY,1978,4.0024867,-5.4232888,-.30765936,-8.1717882
SPAIN,1960,4.7494092,-6.1660852,1.1253107,-11.588403
SPAIN,1961,4.5892396,-6.0577941,1.1095624,-11.384047
SPAIN,1962,4.4290876,-5.9804759,1.057004,-11.157772
SPAIN,1963,4.3464971,-5.9051185,.97683531,-10.984525
SPAIN,1964,4.3005772,-5.8585296,.91532254,-10.787927
SPAIN,1965,4.2172089,-5.8006454,.81666052,-10.5852
SPAIN,1966,4.113781,-5.7350988,.7567175,-10.329723
SPAIN,1967,4.0863223,-5.7055941,.74130809,-10.102983
SPAIN,1968,4.0442529,-5.6573267,.70386451,-9.9114723
SPAIN,1969,3.9941032,-5.6010461,.6694895,-9.7204256
SPAIN,1970,3.9660459,-5.5532475,.61217207,-9.5573597
SPAIN,1971,3.9073441,-5.5155449,.60699564,-9.409956
SPAIN,1972,3.8912244,-5.4587126,.53716844,-9.2704048
SPAIN,1973,3.9128115,-5.3737164,.43377167,-9.126627
SPAIN,1974,3.7685652,-5.3296051,.52492094,-9.0133028
SPAIN,1975,3.7524488,-5.3309259,.62955546,-8.9160213
SPAIN,1976,3.7108746,-5.3128548,.6838541,-8.8206348
SPAIN,1977,3.6507347,-5.299089,.52627164,-8.7272186
SPAIN,1978,3.6204438,-5.2859592,.62141377,-8.634697
SWEDEN,1960,4.0630102,-8.0725231,-2.5204158,-8.7426786
SWEDEN,1961,4.0618701,-8.0195875,-2.5714834,-8.6598854
SWEDEN,1962,4.0064392,-7.9972486,-2.5344815,-8.5774212
SWEDEN,1963,4.0027657,-7.9667478,-2.6051123,-8.4943113
SWEDEN,1964,4.0248585,-7.8975825,-2.6580162,-8.4334726
SWEDEN,1965,4.0154629,-7.874805,-2.644768,-8.3694916
SWEDEN,1966,4.0025573,-7.8607974,-2.6390145,-8.3268566
SWEDEN,1967,3.9973462,-7.8454628,-2.6560977,-8.289485
SWEDEN,1968,3.9975848,-7.8139868,-2.6791866,-8.2482309
SWEDEN,1969,3.991715,-7.771081,-2.731904,-8.1974621
SWEDEN,1970,3.9893725,-7.7326102,-2.733592,-8.164506
SWEDEN,1971,3.9820619,-7.7601128,-2.7788455,-8.14223
SWEDEN,1972,3.9800658,-7.7425113,-2.7746754,-8.1031446
SWEDEN,1973,4.0305605,-7.7252984,-2.841429,-8.0870552
SWEDEN,1974,3.9131591,-7.6895313,-2.7984068,-8.0365992
SWEDEN,1975,3.9738405,-7.6795568,-2.7673147,-7.9942169
SWEDEN,1976,3.9839964,-7.6720428,-2.8229449,-7.9560661
SWEDEN,1977,4.0310111,-7.707376,-2.8200591,-7.9688025
SWEDEN,1978,4.0673733,-7.6791959,-2.8964968,-7.9719348
SWITZERL,1960,4.3976216,-6.1560745,-.82321835,-9.2623997
SWITZERL,1961,4.4413295,-6.1116395,-.86558473,-9.1582289
SWITZERL,1962,4.2871475,-6.0930061,-.8221851,-9.0461445
SWITZERL,1963,4.3124847,-6.0680213,-.86012006,-8.9507799
SWITZERL,1964,4.3134274,-6.021471,-.86767679,-8.8394318
SWITZERL,1965,4.2887139,-5.9960866,-.90528667,-8.7603741
SWITZERL,1966,4.2663517,-5.981617,-.85956663,-8.6791162
SWITZERL,1967,4.2659187,-5.9749184,-.90656668,-8.6199598
SWITZERL,1968,4.2177877,-5.9536281,-.87232518,-8.5447521
SWITZERL,1969,4.2112899,-5.9121718,-.91812164,-8.4733791
SWITZERL,1970,4.2252965,-5.8786354,-.96344191,-8.406435
SWITZERL,1971,4.2806969,-5.8486652,-1.0374608,-8.3600664
SWITZERL,1972,4.2591596,-5.811492,-.94015342,-8.3036251
SWITZERL,1973,4.229816,-5.7604127,-.86722755,-8.2466354
SWITZERL,1974,4.1663637,-5.7517028,-.88692307,-8.2055073
SWITZERL,1975,4.1205678,-5.8257756,-.88475788,-8.1660767
SWITZERL,1976,4.0795722,-5.8359632,-.90736204,-8.1287498
SWITZERL,1977,4.1005335,-5.8209596,-.91147286,-8.0935087
SWITZERL,1978,4.0500479,-5.8168473,-1.0320882,-8.0343714
TURKEY,1960,6.1295528,-7.8011441,-.25340822,-13.475184
TURKEY,1961,6.1062126,-7.7867265,-.34252375,-13.384727
TURKEY,1962,6.0845871,-7.8362722,-.40820482,-13.245941
TURKEY,1963,6.075129,-7.6311932,-.22499174,-13.255045
TURKEY,1964,6.0646009,-7.6268983,-.25219446,-13.21031
TURKEY,1965,5.8230457,-7.6220264,-.29347613,-12.879336
TURKEY,1966,6.1566443,-7.5108953,-.3564049,-12.951138
TURKEY,1967,6.0444784,-7.4608097,-.33515021,-12.801852
TURKEY,1968,6.0765948,-7.4212012,-.36507386,-12.807355
TURKEY,1969,5.720705,-7.3886461,-.29845417,-12.518545
TURKEY,1970,5.722105,-7.324091,-.39882648,-12.446583
TURKEY,1971,5.6696463,-7.1823664,-.30461881,-12.398828
TURKEY,1972,5.5788212,-7.0837173,-.54637426,-12.192044
TURKEY,1973,5.6864705,-7.0674219,-.69162023,-11.990216
TURKEY,1974,5.4277287,-7.012814,-.33965307,-11.7594
TURKEY,1975,5.4267774,-6.9544387,-.53794676,-11.555029
TURKEY,1976,5.3129292,-6.9096966,-.75141025,-11.431643
TURKEY,1977,5.3134623,-6.8936591,-.95552415,-11.2338
TURKEY,1978,5.1412554,-6.8888264,-.35290962,-11.181325
U.K.,1960,4.1002445,-6.1868491,-.3910858,-9.1176233
U.K.,1961,4.0886359,-6.1688581,-.45185307,-9.048892
U.K.,1962,4.0480509,-6.1667151,-.42287689,-8.9668846
U.K.,1963,3.985271,-6.1306734,-.46335146,-8.8559427
U.K.,1964,3.9767811,-6.08637,-.4957743,-8.7497826
U.K.,1965,3.9686756,-6.0768948,-.42654917,-8.6776085
U.K.,1966,3.9572122,-6.0690618,-.47068146,-8.6182775
U.K.,1967,3.9436309,-6.0494289,-.44118786,-8.5449724
U.K.,1968,3.9532027,-6.0303826,-.4624508,-8.5018711
U.K.,1969,3.9480584,-6.0319524,-.38332456,-8.4681187
U.K.,1970,3.9797051,-6.0082593,-.41899028,-8.445137
U.K.,1971,3.9836533,-5.9817324,-.46135977,-8.4027929
U.K.,1972,3.9927568,-5.9730062,-.52777243,-8.3560982
U.K.,1973,3.9953642,-5.8975644,-.56529719,-8.3066778
U.K.,1974,3.9669614,-5.9128084,-.56641299,-8.2857704
U.K.,1975,3.9125838,-5.9232392,-.20867428,-8.2764158
U.K.,1976,3.9623053,-5.8868089,-.27354011,-8.2693748
U.K.,1977,3.9455533,-5.8710136,-.50886285,-8.2665167
U.K.,1978,4.0003743,-5.8405523,-.78652912,-8.2626143
U.S.A.,1960,4.8239646,-5.6983738,-1.1211149,-8.0194578
U.S.A.,1961,4.7963171,-5.6952181,-1.1462404,-7.9992619
U.S.A.,1962,4.7989364,-5.648807,-1.1618745,-7.9864073
U.S.A.,1963,4.7878952,-5.6268506,-1.1799152,-7.9595423
U.S.A.,1964,4.8082738,-5.5871468,-1.2002622,-7.9298987
U.S.A.,1965,4.8059545,-5.5368905,-1.1942875,-7.9004927
U.S.A.,1966,4.8075304,-5.4790125,-1.1902605,-7.8679776
U.S.A.,1967,4.8008833,-5.4649596,-1.1899122,-7.8411775
U.S.A.,1968,4.8341417,-5.430213,-1.2073005,-7.8224277
U.S.A.,1969,4.8413825,-5.4143744,-1.2231427,-7.792706
U.S.A.,1970,4.848484,-5.4219646,-1.2517635,-7.7653766
U.S.A.,1971,4.8602867,-5.4060426,-1.2813156,-7.7489204
U.S.A.,1972,4.854073,-5.3539557,-1.3311692,-7.6804185
U.S.A.,1973,4.8463745,-5.3081565,-1.2906697,-7.6376925
U.S.A.,1974,4.7986259,-5.3286939,-1.2314669,-7.6175575
U.S.A.,1975,4.8049321,-5.34619,-1.200377,-7.6070099
U.S.A.,1976,4.8148909,-5.2979455,-1.1546819,-7.574748
U.S.A.,1977,4.8110323,-5.2566056,-1.1759098,-7.5534577
U.S.A.,1978,4.8184538,-5.2212324,-1.2120619,-7.5361762
